name,quantity,unit,category
Agavendicksaft,20.0,ml,Verschiedenes
Aioli,80.0,g,Verschiedenes
Ajvar,50.0,g,Verschiedenes
Apfel,3.0,Stück,Obst
Aprikosenchutney,200.0,g,Verschiedenes
Aprikosenkonfitüre,50.0,g,Verschiedenes
Aubergine,5.0,Stück,Gemüse
Avocado,14.0,Stück,Obst
BBQ-Soße,100.0,ml,Verschiedenes
Baby Pak Choi,7.0,Stück,Gemüse
Baby-Kräuterseitlinge,100.0,g,Gemüse
Babyspinat,2475.0,g,Gemüse
Bacon (Scheiben),750.0,g,Fleisch
Bacon (Streifen),580.0,g,Fleisch
Balsamicocreme,120.0,g,Verschiedenes
Basilikum,130.0,g,Gewürze
Basilikum/Oregano,20.0,g,Gewürze
Basilikumpaste,117.0,ml,Verschiedenes
Bio Rinderhackfleischzubereitung,700.0,g,Fleisch
Birne,3.0,Stück,Obst
Blattsalatmischung,650.0,g,Gemüse
Blauschimmelkäse,150.0,g,Milchprodukte
Blumenkohl,3.0,Stück,Gemüse
Blütenhonig,8.0,g,Verschiedenes
"Brioche Bun, natur",480.0,g,Brot
Brokkoli,7.0,Stück,Gemüse
Brötchenkarree Kräuter,250.0,g,Brot
Bulgogisoße,250.0,ml,Verschiedenes
Bulgur,450.0,g,Verschiedenes
Buschbohnen,1150.0,g,Gemüse
Butter,40.0,g,Milchprodukte
Buttermilch-Zitronen-Dressing,800.0,ml,Verschiedenes
Calabrese Pesto,100.0,g,Verschiedenes
Cannellinibohnen,760.0,g,Gemüse
Champignons,3600.0,g,Gemüse
Chorizo,440.0,g,Fleisch
Ciabatta-Brot,1000.0,g,Brot
Ciabattabrötchen,750.0,g,Brot
Conchiglie,250.0,g,Verschiedenes
Conchiglie (vorgekocht),400.0,g,Verschiedenes
Couscous,900.0,g,Verschiedenes
"Cranberries, getrocknet",20.0,g,Obst
"Crème fraîche, Bio",300.0,g,Milchprodukte
Demi-glace,50.0,ml,Verschiedenes
Dill,30.0,g,Gewürze
Dill/Petersilie,80.0,g,Gewürze
Dill/Schnittlauch,20.0,g,Gewürze
"Dinkel, vorgekocht",450.0,g,Verschiedenes
Edamame,100.0,g,Gemüse
Erdnussbutter,125.0,g,Verschiedenes
Erdnüsse, gesalzen,330.0,g
Farfalle,270.0,g,Verschiedenes
Feldsalat,100.0,g,Gemüse
Fettuccine,1890.0,g,Verschiedenes
